date,city,station_id,temp_c,rainfall_mm
2022-05-01,Hamilton,D87641,11.8,108.1
2022-05-01,Dunedin,E91961,8.6,61.0
2022-06-01,Auckland,A64711,11.7,133.7
2022-06-01,Wellington,B93451,10.7,91.7
2022-06-01,Christchurch,C75731,7.1,67.0
2022-06-01,Hamilton,D87641,10.1,112.0
2022-06-01,Dunedin,E91961,5.8,63.8
2022-07-01,Auckland,A64711,12.8,113.1
2022-07-01,Wellington,B93451,9.7,129.4
2022-07-01,Christchurch,C75731,6.6,46.9
2022-07-01,Hamilton,D87641,8.9,140.8
2022-07-01,Dunedin,E91961,7.1,83.5
2022-08-01,Auckland,A64711,12.9,138.0
2022-08-01,Wellington,B93451,11.0,136.8
2022-08-01,Christchurch,C75731,8.0,53.5
2022-08-01,Hamilton,D87641,9.9,107.1
2022-08-01,Dunedin,E91961,8.0,41.2
2022-09-01,Auckland,A64711,14.0,115.6
2022-09-01,Wellington,B93451,12.0,130.1
2022-09-01,Christchurch,C75731,10.8,
2022-09-01,Hamilton,D87641,10.3,106.3
2022-09-01,Dunedin,E91961,7.9,54.8
2022-10-01,Auckland,A64711,16.6,110.4
2022-10-01,Wellington,B93451,12.6,
2022-10-01,Christchurch,C75731,12.1,26.8
2022-10-01,Hamilton,D87641,13.5,98.0
2022-10-01,Dunedin,E91961,12.0,76.8
2022-11-01,Auckland,A64711,15.6,87.8
2022-11-01,Wellington,B93451,15.4,94.0
2022-11-01,Christchurch,C75731,16.1,9.4
2022-11-01,Hamilton,D87641,15.9,88.2
2022-11-01,Dunedin,E91961,12.1,94.9
2022-12-01,Auckland,A64711,19.2,83.0
2022-12-01,Wellington,B93451,16.4,88.7
2022-12-01,Christchurch,C75731,17.7,42.1
2022-12-01,Hamilton,D87641,18.3,73.1
2022-12-01,Dunedin,E91961,14.3,74.2
2023-01-01,Auckland,A64711,19.3,71.3
2023-01-01,Wellington,B93451,18.2,56.5
2023-01-01,Christchurch,C75731,17.5,62.6
2023-01-01,Hamilton,D87641,18.2,53.0
2023-01-01,Dunedin,E91961,15.8,90.5
2023-02-01,Auckland,A64711,18.9,90.2
2023-02-01,Wellington,B93451,17.5,89.1
2023-02-01,Christchurch,C75731,17.3,80.0
2023-02-01,Hamilton,D87641,18.0,39.0
2023-02-01,Dunedin,E91961,16.3,69.6
2023-03-01,Auckland,A64711,17.5,102.8
2023-03-01,Wellington,B93451,14.0,69.1
2023-03-01,Christchurch,C75731,13.6,
2023-03-01,Hamilton,D87641,16.8,87.2
2023-03-01,Dunedin,E91961,13.6,51.6
2023-04-01,Auckland,A64711,13.6,101.6
2023-04-01,Wellington,B93451,12.8,110.2
2023-04-01,Christchurch,C75731,12.7,60.0
2023-04-01,Hamilton,D87641,14.6,96.8
2023-04-01,Dunedin,E91961,11.5,57.1
2023-05-01,Auckland,A64711,13.3,121.4
2023-05-01,Wellington,B93451,11.8,112.9
2023-05-01,Christchurch,C75731,9.8,58.7
2023-05-01,Hamilton,D87641,11.5,119.8
2023-05-01,Dunedin,E91961,7.3,43.1
2023-06-01,Auckland,A64711,10.8,96.4
2023-06-01,Wellington,B93451,9.0,141.4
2023-06-01,Christchurch,C75731,7.1,67.3
2023-06-01,Hamilton,D87641,10.7,137.5
2023-06-01,Dunedin,E91961,7.1,79.2
2023-07-01,Auckland,A64711,11.5,123.6
2023-07-01,Wellington,B93451,8.5,112.1
2023-07-01,Christchurch,C75731,5.9,57.3
2023-07-01,Hamilton,D87641,9.8,147.1
2023-07-01,Dunedin,E91961,5.5,63.4
2023-08-01,Auckland,A64711,11.1,138.5
2023-08-01,Wellington,B93451,9.5,102.7
2023-08-01,Christchurch,C75731,8.1,48.9
2023-08-01,Hamilton,D87641,9.4,101.5
2023-08-01,Dunedin,E91961,6.7,65.3
2023-09-01,Auckland,A64711,13.2,123.4
2023-09-01,Wellington,B93451,11.4,138.6
2023-09-01,Christchurch,C75731,9.1,29.3
2023-09-01,Hamilton,D87641,12.5,102.4
2023-09-01,Dunedin,E91961,9.7,68.3
2023-10-01,Auckland,A64711,15.3,106.1
2023-10-01,Wellington,B93451,14.8,134.5
2023-10-01,Christchurch,C75731,12.2,47.5
2023-10-01,Hamilton,D87641,14.9,80.6
2023-10-01,Dunedin,E91961,11.4,67.3
2023-11-01,Auckland,A64711,17.7,70.7
2023-11-01,Wellington,B93451,14.0,56.7
2023-11-01,Christchurch,C75731,14.0,33.5
2023-11-01,Hamilton,D87641,16.2,108.4
2023-11-01,Dunedin,E91961,,58.3
2023-12-01,Auckland,A64711,19.1,64.2
2023-12-01,Wellington,B93451,16.6,79.3
2023-12-01,Christchurch,C75731,17.4,33.5
2023-12-01,Hamilton,D87641,19.0,52.0
2023-12-01,Dunedin,E91961,15.0,115.4
2024-01-01,Auckland,A64711,19.6,87.0
2024-01-01,Wellington,B93451,17.5,81.0
2024-01-01,Christchurch,C75731,17.6,37.8
2024-01-01,Hamilton,D87641,18.2,71.8
2024-01-01,Dunedin,E91961,14.9,87.8
2024-02-01,Auckland,A64711,19.7,75.8
2024-02-01,Wellington,B93451,16.6,83.3
2024-02-01,Christchurch,C75731,16.6,59.1
2024-02-01,Hamilton,D87641,16.7,64.1
2024-02-01,Dunedin,E91961,13.4,54.0
2024-03-01,Auckland,A64711,18.5,96.6
2024-03-01,Wellington,B93451,14.7,65.3
2024-03-01,Christchurch,C75731,12.5,43.3
2024-03-01,Hamilton,D87641,18.3,85.9
2024-03-01,Dunedin,E91961,12.9,79.7
2024-04-01,Auckland,A64711,14.2,96.4
2024-04-01,Wellington,B93451,13.3,102.0
2024-04-01,Christchurch,C75731,12.7,63.1
2024-04-01,Hamilton,D87641,14.5,83.0
2024-04-01,Dunedin,E91961,11.8,92.1
2024-05-01,Auckland,A64711,12.6,105.2
2024-05-01,Wellington,B93451,12.2,116.0
2024-05-01,Christchurch,C75731,10.5,56.0
2024-05-01,Hamilton,D87641,12.8,109.3
2024-05-01,Dunedin,E91961,9.1,86.1
2024-06-01,Auckland,A64711,11.6,117.3
2024-06-01,Wellington,B93451,9.2,137.0
2024-06-01,Christchurch,C75731,6.1,73.9
2024-06-01,Hamilton,D87641,9.4,134.8
2024-06-01,Dunedin,E91961,5.3,47.1
2024-07-01,Auckland,A64711,10.1,123.7
2024-07-01,Wellington,B93451,9.2,131.6
2024-07-01,Christchurch,C75731,6.4,60.3
2024-07-01,Hamilton,D87641,9.4,106.2
2024-07-01,Dunedin,E91961,7.2,67.5
2024-08-01,Auckland,A64711,12.2,139.7
2024-08-01,Wellington,B93451,9.8,160.7
2024-08-01,Christchurch,C75731,7.3,53.3
2024-08-01,Hamilton,D87641,9.2,102.1
2024-08-01,Dunedin,E91961,6.2,45.5
2024-09-01,Auckland,A64711,13.3,123.5
2024-09-01,Wellington,B93451,11.1,107.4
2024-09-01,Christchurch,C75731,10.1,62.6
2024-09-01,Hamilton,D87641,11.5,97.5
2024-09-01,Dunedin,E91961,9.3,65.4
2024-10-01,Auckland,A64711,14.2,99.8
2024-10-01,Wellington,B93451,13.4,89.8
2024-10-01,Christchurch,C75731,12.3,23.2
2024-10-01,Hamilton,D87641,15.1,112.1
2024-10-01,Dunedin,E91961,10.9,73.1
2024-11-01,Auckland,A64711,15.5,65.8
2024-11-01,Wellington,B93451,15.1,71.8
2024-11-01,Christchurch,C75731,15.4,70.3
2024-11-01,Hamilton,D87641,15.5,66.8
2024-11-01,Dunedin,E91961,13.5,96.9
2024-12-01,Auckland,A64711,17.9,74.0
2024-12-01,Wellington,B93451,18.3,51.7
2024-12-01,Christchurch,C75731,15.8,32.3
2024-12-01,Hamilton,D87641,17.7,81.3
2024-12-01,Dunedin,E91961,15.2,49.8
